batch_id,recipient_id,status,sent_at,opened_at,replied_at,bounced_at
24,222,sent,2026-05-25T14:52:34.496806,,,
24,223,sent,2026-05-25T14:54:35.274932,,,
24,224,sent,2026-05-25T14:56:36.257183,,,
24,225,sent,2026-05-25T14:59:54.024473,,,
24,226,sent,2026-05-25T15:01:56.517676,,,
24,227,sent,2026-05-25T15:03:57.224574,,,
24,228,sent,2026-05-25T15:05:58.071378,,,
24,229,sent,2026-05-25T15:07:59.542763,,,
24,230,sent,2026-05-25T15:10:00.744864,,,
24,231,sent,2026-05-25T15:13:06.037916,,,
24,232,sent,2026-05-25T15:15:06.760733,,,
24,234,sent,2026-05-25T15:17:07.647178,,,
24,235,sent,2026-05-25T15:19:08.364478,,,
24,236,sent,2026-05-25T15:21:09.320722,,,
24,237,sent,2026-05-25T15:23:10.258946,,,
24,238,sent,2026-05-25T15:25:11.291500,,,
24,239,sent,2026-05-25T15:27:12.898863,,,
24,240,sent,2026-05-25T15:29:13.758307,,,
24,241,sent,2026-05-25T15:31:14.512898,,,
24,242,sent,2026-05-25T15:33:15.734305,,,
24,243,sent,2026-05-25T15:35:16.857573,,,
24,244,sent,2026-05-25T15:37:17.682663,,,
24,245,sent,2026-05-25T15:39:18.367930,,,
24,246,sent,2026-05-25T15:41:19.254228,,,
24,247,sent,2026-05-25T15:43:21.005768,,,
24,248,sent,2026-05-25T15:45:22.133907,,,
24,249,sent,2026-05-25T15:47:23.270915,,,
24,250,sent,2026-05-25T15:49:54.260704,,,
24,251,sent,2026-05-25T15:51:55.482226,,,
24,252,sent,2026-05-25T15:53:59.470917,,,
24,253,sent,2026-05-25T15:56:00.716311,,,
25,254,pending,,,,
25,255,pending,,,,
27,1,pending,,,,
27,2,pending,,,,
27,3,pending,,,,
27,4,pending,,,,
27,5,pending,,,,
27,6,pending,,,,
27,7,pending,,,,
27,8,pending,,,,
27,9,pending,,,,
27,10,pending,,,,
27,11,pending,,,,
27,12,pending,,,,
27,13,pending,,,,
27,14,pending,,,,
27,15,pending,,,,
27,16,pending,,,,
27,17,pending,,,,
27,19,pending,,,,
27,20,pending,,,,
27,21,pending,,,,
27,22,pending,,,,
27,23,pending,,,,
27,24,pending,,,,
27,25,pending,,,,
27,26,pending,,,,
27,27,pending,,,,
27,28,pending,,,,
27,29,pending,,,,
28,2,sent,2026-05-28T12:43:26.354835,,,
28,204,sent,2026-05-28T12:45:32.481751,,,
28,205,sent,2026-05-28T12:47:37.699300,,,
28,206,sent,2026-05-28T12:49:42.527146,,,
28,207,sent,2026-05-28T12:51:46.113181,,,
28,208,sent,2026-05-28T12:53:51.240982,,,
28,209,sent,2026-05-28T12:55:55.827305,,,
28,210,sent,2026-05-28T13:03:15.502978,,,
28,211,sent,2026-05-28T13:05:20.108252,,,
28,212,sent,2026-05-28T13:07:22.644859,,,
28,213,sent,2026-05-28T13:09:26.092730,,,
28,214,sent,2026-05-28T13:11:28.898903,,,
28,215,sent,2026-05-28T13:13:32.465131,,,
28,216,sent,2026-05-28T13:15:36.774604,,,
28,217,sent,2026-05-28T13:17:40.619083,,,
28,218,sent,2026-05-28T13:19:43.381672,,,
28,219,sent,2026-05-28T13:21:46.459919,,,
28,220,sent,2026-05-28T13:23:49.510338,,,
28,221,sent,2026-05-28T13:25:52.073836,,,
28,222,sent,2026-05-28T13:27:54.834149,,,
28,223,sent,2026-05-28T13:29:57.919350,,,
28,224,sent,2026-05-28T13:32:01.442581,,,
28,225,sent,2026-05-28T13:34:04.802187,,,
28,226,sent,2026-05-28T13:36:10.864652,,,
28,227,sent,2026-05-28T13:38:13.196376,,,
28,228,sent,2026-05-28T13:41:12.903531,,,
28,229,sent,2026-05-28T13:43:14.769116,,,
28,230,sent,2026-05-28T13:45:17.192582,,,
28,231,sent,2026-05-28T13:47:19.792543,,,
28,232,sent,2026-05-28T13:49:22.298464,,,
28,234,sent,2026-05-28T13:51:25.036208,,,
28,235,sent,2026-05-28T13:53:26.959102,,,
28,236,sent,2026-05-28T13:55:29.704353,,,
28,237,sent,2026-05-28T13:57:32.188243,,,
28,238,sent,2026-05-28T13:59:34.873004,,,
28,239,sent,2026-05-28T14:01:38.255082,,,
28,240,sent,2026-05-28T14:03:40.734626,,,
28,241,sent,2026-05-28T14:05:48.078192,,,
28,242,sent,2026-05-28T14:07:50.740804,,,
28,243,sent,2026-05-28T14:09:53.614142,,,
28,244,sent,2026-05-28T14:11:56.221837,,,
28,245,sent,2026-05-28T14:13:58.640343,,,
28,246,sent,2026-05-28T14:16:01.020844,,,
28,247,sent,2026-05-28T14:18:03.557949,,,
28,248,sent,2026-05-28T14:20:05.344727,,,
28,249,sent,2026-05-28T14:22:08.049125,,,
28,250,sent,2026-05-28T14:24:10.330749,,,
28,251,sent,2026-05-28T14:26:12.932627,,,
28,252,sent,2026-05-28T14:28:15.225504,,,
28,253,sent,2026-05-28T14:30:17.574389,,,
29,412,sent,2026-05-26T12:13:58.118831,,,
29,413,sent,2026-05-26T12:15:58.994657,,,
29,414,sent,2026-05-26T12:17:59.739356,,,
29,415,sent,2026-05-26T12:20:00.547617,,,
29,416,sent,2026-05-26T12:22:01.501891,,,
29,417,sent,2026-05-26T12:24:02.217578,,,
29,418,sent,2026-05-26T12:26:03.768586,,,
29,419,sent,2026-05-26T12:28:05.630965,,,
29,420,sent,2026-05-26T12:30:07.159691,,,
29,421,sent,2026-05-26T12:32:09.457563,,,
29,422,sent,2026-05-26T12:34:10.297743,,,
